date,currency,tt_buy,tt_sell
2020-01-06,GBP,93.22,95.41
2020-01-07,GBP,93.39,95.63
2020-01-08,GBP,93.44,95.67
2020-01-10,GBP,91.57,93.78
2020-01-13,GBP,91.3,93.47
2020-01-15,GBP,91.39,93.6
2020-01-17,GBP,91.75,93.93
2020-01-20,GBP,91.39,93.56
2020-01-21,GBP,91.51,93.71
2020-01-22,GBP,91.74,93.92
2020-01-23,GBP,92.49,94.68
2020-01-24,GBP,92.52,94.7
2020-01-27,GBP,92.26,94.44
2020-01-28,GBP,92.15,94.33
2020-01-29,GBP,91.69,93.86
2020-01-30,GBP,91.87,94.05
2020-01-31,GBP,92.52,94.74
2020-02-03,GBP,93.17,95.36
2020-02-04,GBP,91.57,93.75
2020-02-05,GBP,91.68,93.85
2020-02-06,GBP,91.47,93.64
2020-02-07,GBP,91.21,93.38
2020-02-10,GBP,91.06,93.23
2020-02-11,GBP,91.01,93.17
2020-02-12,GBP,91.29,93.46
2020-02-13,GBP,91.44,93.61
2020-02-14,GBP,91.96,94.14
2020-02-18,GBP,91.77,93.98
2020-02-20,GBP,91.54,93.72
2020-02-21,GBP,91.41,93.58
2020-02-24,GBP,91.95,94.16
2020-02-25,GBP,91.87,94.09
2020-02-26,GBP,92.12,94.3
2020-02-27,GBP,91.48,93.69
2020-02-28,GBP,91.85,94.06
2020-03-03,GBP,92.12,94.3
2020-03-04,GBP,92.84,95.06
2020-03-05,GBP,93.34,95.53
2020-03-06,GBP,94.67,96.88
2020-03-12,GBP,94.07,96.31
2020-03-13,GBP,91.94,94.19
2020-03-16,GBP,90.43,92.63
2020-03-17,GBP,89.88,92.03
2020-03-18,GBP,88.51,90.69
2020-03-19,GBP,85.57,87.72
2020-03-20,GBP,85.88,88.04
2020-03-23,GBP,87.6,89.78
2020-03-24,GBP,87.36,89.53
2020-03-26,GBP,88.33,90.52
2020-03-27,GBP,90.1,92.25
2020-03-30,GBP,92.24,94.47
2020-03-31,GBP,92.05,94.28
2020-04-13,GBP,94.08,96.33
2020-04-20,GBP,94.28,96.52
2020-04-29,GBP,93.26,95.47
2020-04-30,GBP,92.52,94.71
2020-05-12,GBP,92.29,94.49
2020-06-02,GBP,93.29,95.53
2020-06-03,GBP,93.41,95.62
2020-06-04,GBP,93.64,95.84
2020-06-05,GBP,93.9,96.14
2020-06-08,GBP,95.07,97.29
2020-06-09,GBP,94.89,97.11
2020-06-10,GBP,95.11,97.34
2020-06-11,GBP,95.09,97.36
2020-06-12,GBP,94.56,96.82
2020-06-16,GBP,95.04,97.26
2020-06-17,GBP,94.72,96.94
2020-06-18,GBP,94.5,96.71
2020-06-19,GBP,93.71,95.91
2020-06-22,GBP,93.23,95.48
2020-06-23,GBP,93.56,95.77
2020-06-24,GBP,93.6,95.81
2020-06-25,GBP,92.92,95.15
2020-06-26,GBP,92.79,94.99
2020-06-29,GBP,92.48,94.68
2020-06-30,GBP,91.82,94.05
2020-07-01,GBP,92.36,94.6
2020-07-02,GBP,92.63,94.85
2020-07-03,GBP,92.23,94.43
2020-07-08,GBP,93.1,95.34
