date,currency,tt_buy,tt_sell
2020-01-06,JPY,65.83,67.57
2020-01-07,JPY,65.29,67.01
2020-01-08,JPY,65.64,67.36
2020-01-10,JPY,63.92,65.59
2020-01-13,JPY,63.84,65.5
2020-01-15,JPY,63.79,65.46
2020-01-17,JPY,63.6,65.26
2020-01-20,JPY,63.7,65.38
2020-01-21,JPY,63.89,65.56
2020-01-22,JPY,63.86,65.55
2020-01-23,JPY,64.17,65.84
2020-01-24,JPY,64.34,66.03
2020-01-27,JPY,64.71,66.42
2020-01-28,JPY,64.68,66.36
2020-01-29,JPY,64.41,66.09
2020-01-30,JPY,64.76,66.47
2020-01-31,JPY,64.69,66.4
2020-02-03,JPY,65.15,66.87
2020-02-04,JPY,64.72,66.42
2020-02-05,JPY,64.26,65.93
2020-02-06,JPY,64.02,65.69
2020-02-07,JPY,64.04,65.71
2020-02-10,JPY,64.23,65.89
2020-02-11,JPY,64.05,65.72
2020-02-12,JPY,64.02,65.69
2020-02-13,JPY,64.15,65.82
2020-02-14,JPY,64.09,65.77
2020-02-18,JPY,64.28,65.95
2020-02-20,JPY,63.64,65.28
2020-02-21,JPY,63.22,64.85
2020-02-24,JPY,63.66,65.3
2020-02-25,JPY,64.05,65.69
2020-02-26,JPY,64.08,65.74
2020-02-27,JPY,64.15,65.82
2020-02-28,JPY,65.43,67.14
2020-03-03,JPY,66.7,68.44
2020-03-04,JPY,67.39,69.15
2020-03-05,JPY,67.5,69.26
2020-03-06,JPY,68.9,70.71
2020-03-12,JPY,70.88,72.77
2020-03-13,JPY,69.31,71.14
2020-03-16,JPY,68.39,70.16
2020-03-17,JPY,68.81,70.62
2020-03-18,JPY,68.34,70.11
2020-03-19,JPY,68.2,69.97
2020-03-20,JPY,67.05,68.78
2020-03-23,JPY,68.19,69.94
2020-03-24,JPY,68.08,69.83
2020-03-26,JPY,67.27,68.98
2020-03-27,JPY,67.8,69.56
2020-03-30,JPY,69.02,70.81
2020-03-31,JPY,68.76,70.55
2020-04-13,JPY,69.83,71.64
2020-04-20,JPY,69.99,71.79
2020-04-29,JPY,70.16,71.98
2020-04-30,JPY,69.62,71.45
2020-05-12,JPY,69.46,71.26
2020-06-02,JPY,68.87,70.66
2020-06-03,JPY,68.34,70.09
2020-06-04,JPY,68.45,70.21
2020-06-05,JPY,68.21,69.97
2020-06-08,JPY,68.26,70.01
2020-06-09,JPY,69.02,70.79
2020-06-10,JPY,69.29,71.09
2020-06-11,JPY,69.97,71.76
2020-06-12,JPY,70.03,71.84
2020-06-16,JPY,70.01,71.81
2020-06-17,JPY,70.22,72.0
2020-06-18,JPY,70.39,72.2
2020-06-19,JPY,70.47,72.29
2020-06-22,JPY,70.42,72.22
2020-06-23,JPY,69.91,71.72
2020-06-24,JPY,70.11,71.93
2020-06-25,JPY,69.78,71.56
2020-06-26,JPY,69.61,71.42
2020-06-29,JPY,69.7,71.5
2020-06-30,JPY,69.2,71.01
2020-07-01,JPY,69.29,71.08
2020-07-02,JPY,68.81,70.59
2020-07-03,JPY,68.82,70.63
2020-07-08,JPY,68.92,70.72
2020-07-09,JPY,69.01,70.81
2020-07-10,JPY,69.33,71.13
2020-07-13,JPY,69.52,71.33
2020-07-14,JPY,69.37,71.17
2020-07-15,JPY,69.39,71.17
2020-07-16,JPY,69.45,71.23
2020-07-17,JPY,69.31,71.09
2020-07-20,JPY,69.0,70.77
2020-07-21,JPY,68.84,70.62
2020-07-22,JPY,68.98,70.77
2020-07-23,JPY,68.83,70.63
2020-07-24,JPY,69.55,71.35
2020-07-27,JPY,70.07,71.9
2020-07-28,JPY,70.03,71.85
2020-07-29,JPY,70.37,72.2
2020-07-30,JPY,70.33,72.17
2020-07-31,JPY,70.78,72.66
2020-08-03,JPY,69.87,71.7
2020-08-04,JPY,70.0,71.81
2020-08-05,JPY,70.11,71.96
2020-08-06,JPY,70.01,71.87
2020-08-10,JPY,69.98,71.82
2020-08-11,JPY,69.71,71.52
2020-08-12,JPY,69.15,70.94
2020-08-13,JPY,69.23,71.01
2020-08-14,JPY,69.15,70.94
2020-08-25,JPY,69.24,71.04
2020-08-26,JPY,68.94,70.72
2020-08-27,JPY,68.87,70.66
2020-08-28,JPY,68.21,70.0
2020-08-31,JPY,68.77,70.59
2020-09-01,JPY,68.23,70.03
2020-09-02,JPY,68.07,69.85
2020-09-03,JPY,68.21,70.0
2020-09-04,JPY,68.3,70.11
2020-09-07,JPY,67.97,69.76
2020-09-08,JPY,68.43,70.24
2020-09-09,JPY,68.66,70.47
2020-09-10,JPY,68.09,69.88
2020-09-11,JPY,68.36,70.16
2020-09-14,JPY,68.38,70.18
2020-09-15,JPY,68.62,70.4
2020-09-16,JPY,69.04,70.86
2020-09-17,JPY,69.26,71.09
2020-09-21,JPY,69.49,71.34
2020-09-22,JPY,69.43,71.28
2020-09-23,JPY,69.16,70.98
2020-09-24,JPY,69.12,70.92
2020-09-25,JPY,69.12,70.92
2020-09-28,JPY,69.05,70.87
2020-09-29,JPY,69.04,70.84
2020-09-30,JPY,69.06,70.85
2020-10-01,JPY,68.92,70.74
2020-10-05,JPY,68.46,70.25
