date,currency,tt_buy,tt_sell
2020-01-06,USD,71.65,72.5
2020-01-07,USD,71.32,72.17
2020-01-08,USD,71.6,72.45
2020-01-10,USD,70.55,71.4
2020-01-13,USD,70.45,71.3
2020-01-15,USD,70.6,71.45
2020-01-17,USD,70.58,71.43
2020-01-20,USD,70.68,71.53
2020-01-21,USD,70.77,71.62
2020-01-22,USD,70.76,71.61
2020-01-23,USD,70.82,71.67
2020-01-24,USD,70.92,71.77
2020-01-27,USD,71.05,71.9
2020-01-28,USD,70.99,71.84
2020-01-29,USD,70.83,71.68
2020-01-30,USD,71.0,71.85
2020-01-31,USD,71.06,71.91
2020-02-03,USD,71.2,72.05
2020-02-04,USD,70.85,71.7
2020-02-05,USD,70.82,71.67
2020-02-06,USD,70.85,71.7
2020-02-07,USD,70.87,71.72
2020-02-10,USD,71.0,71.85
2020-02-11,USD,70.85,71.7
2020-02-12,USD,70.82,71.67
2020-02-13,USD,70.99,71.84
2020-02-14,USD,70.9,71.75
2020-02-18,USD,71.0,71.85
2020-02-20,USD,71.35,72.2
2020-02-21,USD,71.3,72.15
2020-02-24,USD,71.5,72.35
2020-02-25,USD,71.44,72.29
2020-02-26,USD,71.3,72.15
2020-02-27,USD,71.22,72.07
2020-02-28,USD,71.7,72.55
2020-03-03,USD,72.45,73.3
2020-03-04,USD,72.9,73.75
2020-03-05,USD,72.95,73.8
2020-03-06,USD,73.5,74.35
2020-03-12,USD,73.78,74.63
2020-03-13,USD,73.7,74.55
2020-03-16,USD,73.7,74.55
2020-03-17,USD,73.76,74.61
2020-03-18,USD,73.85,74.7
2020-03-19,USD,74.6,75.45
2020-03-20,USD,74.42,75.27
2020-03-23,USD,75.65,76.5
2020-03-24,USD,75.6,76.46
2020-03-26,USD,75.05,75.9
2020-03-27,USD,74.0,74.85
2020-03-30,USD,75.05,75.9
2020-03-31,USD,75.05,75.9
2020-04-13,USD,75.9,76.75
2020-04-20,USD,76.0,76.85
2020-04-29,USD,75.3,76.15
2020-04-30,USD,74.7,75.55
2020-05-12,USD,75.25,76.1
2020-06-02,USD,74.75,75.6
2020-06-03,USD,74.7,75.55
2020-06-04,USD,75.15,76.0
2020-06-05,USD,75.0,75.85
2020-06-08,USD,75.24,76.09
2020-06-09,USD,75.1,75.95
2020-06-10,USD,75.1,75.95
2020-06-11,USD,75.35,76.2
2020-06-12,USD,75.65,76.5
2020-06-16,USD,75.7,76.55
2020-06-17,USD,75.87,76.72
2020-06-18,USD,75.75,76.6
2020-06-19,USD,75.85,76.7
2020-06-22,USD,75.8,76.65
2020-06-23,USD,75.45,76.3
2020-06-24,USD,75.24,76.09
2020-06-25,USD,75.33,76.18
2020-06-26,USD,75.13,75.98
2020-06-29,USD,75.22,76.07
2020-06-30,USD,75.08,75.93
2020-07-01,USD,75.12,75.97
2020-07-02,USD,74.4,75.25
2020-07-03,USD,74.5,75.35
2020-07-08,USD,74.6,75.45
2020-07-09,USD,74.55,75.4
2020-07-10,USD,74.72,75.57
2020-07-13,USD,74.8,75.65
2020-07-14,USD,74.87,75.72
2020-07-15,USD,74.95,75.8
2020-07-16,USD,74.8,75.65
2020-07-17,USD,74.83,75.68
2020-07-20,USD,74.55,75.4
2020-07-21,USD,74.35,75.2
2020-07-22,USD,74.2,75.05
2020-07-23,USD,74.25,75.1
2020-07-24,USD,74.52,75.37
2020-07-27,USD,74.5,75.35
2020-07-28,USD,74.45,75.3
2020-07-29,USD,74.45,75.3
2020-07-30,USD,74.42,75.27
2020-07-31,USD,74.35,75.2
2020-08-03,USD,74.5,75.35
2020-08-04,USD,74.79,75.64
2020-08-05,USD,74.55,75.4
2020-08-06,USD,74.42,75.27
2020-08-10,USD,74.55,75.4
2020-08-11,USD,74.46,75.31
2020-08-12,USD,74.35,75.2
2020-08-13,USD,74.42,75.27
2020-08-14,USD,74.45,75.3
2020-08-25,USD,73.95,74.8
2020-08-26,USD,73.9,74.75
2020-08-27,USD,73.55,74.4
2020-08-28,USD,73.0,73.85
2020-08-31,USD,73.2,74.05
2020-09-01,USD,72.65,73.5
2020-09-02,USD,72.7,73.55
2020-09-03,USD,73.0,73.85
2020-09-04,USD,73.05,73.9
2020-09-07,USD,72.75,73.6
2020-09-08,USD,73.25,74.1
2020-09-09,USD,73.25,74.1
2020-09-10,USD,72.8,73.65
2020-09-11,USD,73.1,73.95
2020-09-14,USD,73.05,73.9
2020-09-15,USD,73.0,73.85
2020-09-16,USD,73.2,74.05
2020-09-17,USD,73.3,74.15
2020-09-21,USD,73.02,73.87
2020-09-22,USD,73.1,73.95
2020-09-23,USD,73.18,74.03
2020-09-24,USD,73.4,74.25
2020-09-25,USD,73.4,74.25
2020-09-28,USD,73.28,74.13
2020-09-29,USD,73.35,74.2
2020-09-30,USD,73.4,74.25
2020-10-01,USD,73.21,74.06
2020-10-05,USD,72.77,73.62
2020-10-06,USD,72.8,73.65
2020-10-07,USD,73.13,73.98
2020-10-08,USD,72.95,73.8
2020-10-09,USD,72.77,73.62
2020-10-12,USD,72.7,73.55
2020-10-14,USD,73.0,73.85
2020-10-16,USD,73.05,73.9
2020-10-22,USD,73.3,74.15
2020-10-23,USD,73.25,74.1
2020-10-26,USD,73.37,74.22
2020-10-27,USD,73.52,74.37
2020-10-28,USD,73.3,74.15
2020-10-29,USD,73.65,74.5
2020-11-03,USD,73.95,74.8
2020-11-04,USD,74.45,75.3
2020-11-05,USD,73.85,74.7
2020-11-06,USD,73.63,74.48
2020-11-09,USD,73.55,74.4
2020-11-10,USD,73.65,74.5
2020-11-12,USD,74.25,75.1
2020-11-13,USD,74.25,75.1
2020-11-17,USD,74.05,74.9
2020-11-18,USD,74.1,74.95
2020-11-19,USD,73.9,74.75
2020-11-23,USD,73.76,74.61
2020-11-24,USD,73.55,74.4
2020-11-25,USD,73.6,74.45
2020-11-26,USD,73.43,74.28
2020-11-27,USD,73.41,74.26
2020-12-01,USD,73.58,74.43
2020-12-02,USD,73.33,74.18
2020-12-03,USD,73.4,74.25
2020-12-04,USD,73.45,74.3
2020-12-07,USD,73.4,74.25
2020-12-08,USD,73.43,74.28
2020-12-09,USD,73.23,74.08
2020-12-10,USD,73.3,74.15
2020-12-11,USD,73.25,74.1
2020-12-14,USD,73.23,74.08
2020-12-15,USD,73.23,74.08
2020-12-16,USD,73.1,73.95
2020-12-17,USD,73.15,74.0
2020-12-18,USD,73.16,74.01
2020-12-21,USD,73.55,74.4
2020-12-22,USD,73.5,74.35
2020-12-23,USD,73.5,74.35
2020-12-24,USD,73.27,74.12
2020-12-28,USD,73.1,73.95
2020-12-29,USD,73.05,73.9
2020-12-30,USD,72.97,73.82
2020-12-31,USD,72.79,73.64
2021-01-06,USD,72.8,73.65
2021-01-07,USD,72.72,73.57
2021-01-08,USD,72.98,73.83
2021-01-11,USD,73.02,73.87
2021-01-12,USD,73.01,73.86
2021-01-13,USD,72.77,73.62
2021-01-14,USD,72.79,73.64
2021-01-15,USD,72.67,73.52
2021-01-18,USD,72.81,73.66
2021-01-19,USD,72.77,73.62
2021-01-20,USD,72.7,73.55
2021-01-21,USD,72.53,73.38
2021-01-22,USD,72.63,73.48
2021-01-25,USD,72.57,73.42
2021-01-28,USD,72.7,73.55
2021-01-29,USD,72.58,73.43
2021-02-01,USD,72.48,73.33
2021-02-02,USD,72.68,73.53
2021-02-03,USD,72.58,73.43
2021-02-04,USD,72.52,73.37
2021-02-05,USD,72.6,73.45
2021-02-10,USD,72.48,73.33
2021-02-17,USD,72.52,73.37
2021-02-18,USD,72.3,73.15
2021-02-22,USD,71.95,72.8
2021-02-23,USD,72.0,72.85
2021-02-24,USD,71.96,72.81
2021-02-25,USD,71.93,72.78
2021-02-26,USD,73.2,74.05
2021-03-01,USD,73.26,74.11
2021-03-02,USD,73.04,73.89
2021-03-03,USD,72.65,73.5
2021-03-04,USD,72.4,73.25
2021-03-05,USD,72.5,73.35
2021-03-08,USD,72.8,73.65
2021-03-09,USD,72.6,73.45
2021-03-10,USD,72.54,73.39
2021-03-12,USD,72.32,73.17
2021-03-15,USD,72.32,73.17
2021-03-16,USD,72.09,72.94
2021-03-17,USD,72.13,72.98
2021-03-18,USD,72.03,72.88
2021-03-19,USD,72.1,72.95
2021-03-23,USD,71.95,72.8
2021-03-24,USD,72.14,72.99
2021-03-25,USD,72.25,73.1
2021-03-26,USD,72.13,72.98
2021-03-30,USD,72.9,73.75
2021-03-31,USD,72.85,73.7
2021-04-07,USD,73.35,74.2
2021-04-08,USD,73.9,74.75
2021-04-09,USD,74.35,75.2
2021-04-12,USD,74.52,75.37
2021-04-15,USD,74.85,75.7
2021-04-16,USD,74.1,74.95
2021-04-19,USD,74.28,75.13
2021-04-20,USD,74.4,75.25
2021-04-22,USD,74.9,75.75
2021-04-23,USD,74.4,75.25
2021-04-26,USD,74.4,75.25
2021-04-27,USD,74.3,75.15
2021-04-28,USD,74.15,75.0
2021-04-29,USD,73.7,74.55
2021-04-30,USD,73.75,74.6
2021-05-03,USD,73.6,74.45
2021-05-04,USD,73.52,74.37
2021-05-05,USD,73.45,74.3
2021-05-07,USD,73.2,74.05
2021-05-10,USD,72.93,73.78
2021-05-11,USD,73.08,73.93
2021-05-12,USD,73.08,73.93
2021-05-14,USD,73.04,73.89
2021-05-17,USD,72.9,73.75
2021-05-18,USD,72.6,73.45
2021-05-20,USD,72.78,73.63
2021-05-21,USD,72.62,73.47
2021-05-24,USD,72.43,73.28
2021-05-25,USD,72.45,73.3
2021-05-27,USD,72.35,73.2
2021-05-28,USD,72.13,72.98
2021-05-31,USD,72.0,72.85
2021-06-02,USD,72.85,73.7
2021-06-03,USD,72.67,73.52
2021-06-04,USD,72.65,73.5
2021-06-07,USD,72.5,73.35
2021-06-08,USD,72.4,73.25
2021-06-10,USD,72.59,73.44
2021-06-11,USD,72.55,73.4
2021-06-14,USD,72.84,73.69
2021-06-15,USD,72.8,73.65
2021-06-17,USD,73.25,74.1
2021-06-21,USD,73.85,74.7
2021-06-22,USD,73.95,74.8
2021-06-23,USD,73.95,74.8
2021-06-24,USD,73.85,74.7
2021-06-25,USD,73.77,74.62
2021-06-28,USD,73.84,74.69
